output_file,sep_index,slice_start,event_timestamp,class_label,matched_warning_time,matched_warning_delta_minutes,warning_count,notes
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-11-22_11-20.json,gsep_204,2001-11-22 11:20:00,2001-11-22 23:20:00,close,2001-11-22 23:00:00,-20.00,3,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-11-22_13-05.json,gsep_205,2001-11-22 13:05:00,2001-11-23 01:05:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-12-11_04-15.json,gsep_206,2001-12-11 04:15:00,2001-12-11 16:15:00,not_found,,,71,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-12-25_18-05.json,gsep_207,2001-12-25 18:05:00,2001-12-26 06:05:00,not_found,,,56,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-12-28_17-10.json,gsep_208,2001-12-28 17:10:00,2001-12-29 05:10:00,close,2001-12-29 04:50:00,-20.00,1,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2001-12-30_09-20.json,gsep_209,2001-12-30 09:20:00,2001-12-30 21:20:00,close,2001-12-30 19:25:00,-115.00,31,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-01-10_08-45.json,gsep_210,2002-01-10 08:45:00,2002-01-10 20:45:00,close,2002-01-10 20:00:00,-45.00,39,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-01-15_02-35.json,gsep_211,2002-01-15 02:35:00,2002-01-15 14:35:00,not_found,,,16,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-01-27_01-55.json,gsep_212,2002-01-27 01:55:00,2002-01-27 13:55:00,close,2002-01-27 12:40:00,-75.00,90,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-02-19_19-30.json,gsep_213,2002-02-19 19:30:00,2002-02-20 07:30:00,close,2002-02-20 07:25:00,-5.00,109,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-03-16_20-20.json,gsep_214,2002-03-16 20:20:00,2002-03-17 08:20:00,not_found,,,7,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-03-17_18-45.json,gsep_215,2002-03-17 18:45:00,2002-03-18 06:45:00,close,2002-03-18 07:00:00,15.00,21,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-03-20_03-10.json,gsep_216,2002-03-20 03:10:00,2002-03-20 15:10:00,close,2002-03-20 14:05:00,-65.00,32,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-03-22_08-20.json,gsep_217,2002-03-22 08:20:00,2002-03-22 20:20:00,not_found,,,90,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2002-04-17_03-30.json,gsep_218,2002-04-17 03:30:00,2002-04-17 15:30:00,close,2002-04-17 15:20:00,-10.00,61,
